Area,Perimeter,MajorAxisLength,MinorAxisLength,AspectRation,Eccentricity,ConvexArea,EquivDiameter,Extent,Solidity,roundness,Compactness,ShapeFactor1,ShapeFactor2,ShapeFactor3,ShapeFactor4,Class
32044,652651,2161471468,1889705403,1143813985,485443520,32395,2019893264,778069153,989164995,945354229,934499156,6745324,3173206,873288673,998879798,0
32057,642082,2159182853,1893033869,1140593884,480971470,32301,2020302950,779804909,992446054,977128658,935679416,6735449,3184598,875495969,998585347,0
32066,669313,2364366550,1732308993,1364864213,680580172,32481,2020586530,780878628,987223300,899489569,854599524,7373438,2426053,730340347,996815403,0
32109,663582,2244723523,1823644962,1230899418,583080944,32567,2021940863,767625332,985936684,916320600,900752740,6990948,2838822,811355498,998697011,0
32114,648566,2226575074,1838290361,1211220556,564236127,32393,2022098284,760670804,991387028,959391600,908165329,6933347,2909259,824764265,998971432,0
32167,654893,2179605170,1882047159,1158103377,504381753,32521,2023766203,760593020,989114726,942496457,928501286,6775904,3106541,862114638,998417873,0
32213,658216,2214811143,1852954324,1195286422,547784367,32585,2025212716,762907351,988583704,934338332,914395217,6875520,2964975,836118613,999401225,0
32218,653595,2227560714,1844046839,1207974042,560975566,32566,2025369884,754431565,989314008,947743902,909232180,6914025,2914808,826703157,998635954,0
32233,665493,2212336837,1855923728,1192040817,544289510,32710,2025841313,775204425,985417304,914584020,915702021,6863577,2976782,838510191,999538373,0
32251,644051,2209809628,1860277835,1187892253,539747143,32514,2026406883,764060649,991911177,977040422,917005183,6851910,2988674,840898506,998896821,0
32258,654808,2208040301,1862777558,1185348348,536918908,32612,2026626784,775805676,989145100,945408164,917839581,6844939,2996515,842429496,998572412,0
32262,652419,2226986563,1845129929,1206953791,559941518,32563,2026752432,781313572,990756380,952462642,910087409,6902816,2921047,828259093,999670452,0
32279,646556,2181816038,1885531418,1157135870,503143726,32623,2027286345,790183599,989455292,970325944,929173821,6759243,3107890,863363990,999029442,0
32323,649590,2173714574,1895913190,1146526426,489149967,32615,2028667587,784843629,991047064,962593368,933272294,6724978,3147053,870997175,998621278,0
32338,653602,2214113413,1861362730,1189512059,541530905,32672,2029138251,782490866,989777179,951253518,916456329,6846785,2979295,839892203,999061903,0
32355,657166,2212796210,1863604099,1187374620,539174328,32720,2029671537,783793605,988844743,941458316,917242866,6839117,2986188,841334475,998979202,0
32368,675385,2216580649,1861762293,1190581987,542701939,32806,2030079249,759099437,986648784,891708502,915860765,6848062,2972113,838800941,998661291,0
32376,643009,2191300137,1883004274,1163725525,511456521,32608,2030330109,784302326,992885182,984008731,926541314,6768286,3076930,858478807,999033700,0
32433,653760,2198366971,1880092368,1169286684,518261408,32775,2032116585,769320176,989565217,953586944,924375508,6778180,3052717,854470079,999120486,0
32465,653850,2252024494,1836920946,1225977906,578509868,32767,2033118831,765034405,990783410,954265043,902796056,6936777,2842471,815040719,999221913,0
32514,649012,2214454899,1871344231,1183349841,534673643,32843,2034652563,784983100,989982645,970006874,918805149,6810774,2994125,844202902,998987370,0
32518,651651,2212627854,1872561106,1181605154,532696427,32811,2034777716,758915235,991070068,962284651,919620402,6804317,3001917,845701683,999285467,0
32518,655131,2208211992,1876655865,1176673909,527019605,32842,2034777716,794032183,990134584,952088655,921459408,6790737,3019962,849087441,999099038,0
32525,663914,2250778556,1842147342,1221823306,574579254,33000,2034996712,769057978,985606061,927264249,904130132,6920149,2852456,817451295,998781044,0
32578,657571,2270375740,1828423057,1241712486,592813998,32901,2036654067,781922043,990182669,946779791,897055950,6969046,2783756,804709378,999217682,0
32581,649583,2244241779,1849234713,1213605695,566603091,32851,2036747839,772061611,991781072,970297635,907543857,6888192,2882408,823635852,999569160,0
32615,664789,2181467463,1910022770,1142115946,483095172,33016,2037810289,808562858,987854374,927383997,934146543,6688540,3141747,872629764,996644368,0
32622,657009,2352708698,1771581895,1328027061,658024288,32902,2038028960,779311992,991489879,949681133,866247896,7212031,2504991,750385418,996532141,0
32698,653049,2250141906,1851437243,1215348733,568317852,32994,2040401594,767684831,991028672,963472928,906787962,6881589,2870063,822264408,999338006,0
32705,654454,2238758675,1861499298,1202664260,555543833,33021,2040619987,779469946,990430332,959545923,911496183,6845310,2914690,830825292,999203884,0
32713,660043,2154163208,1934864621,1113340533,439591560,33020,2040869551,799516082,990702604,943595321,947407115,6585037,3272537,897580242,999312465,0
32729,656679,2142657207,1947938250,1099961565,416528466,33066,2041368587,769153036,989808262,953753937,952727566,6546663,3327167,907689816,998423911,0
32774,660614,2228700513,1874792477,1188771846,540717403,33120,2042771471,790153816,989553140,943721321,916575134,6800209,2960563,840109976,998699087,0
32775,649807,2200250995,1898094038,1159189666,505764487,33062,2042802636,772630835,991319339,975402341,928440728,6713199,3076990,862002186,999224026,0
32795,651030,2252102521,1856002312,1213415795,566415511,33091,2043425820,775992617,991054970,972334053,907341385,6867213,2871066,823268390,998966867,0
32796,654824,2231453687,1874192621,1190621317,542744878,33111,2043456976,800820453,990486545,961128742,915751462,6804042,2951598,838600740,998455917,0
32799,653729,2199055494,1901123396,1156713709,502601592,33087,2043550435,746177996,991295675,964439446,929285523,6704642,3084267,863571584,998905089,0
32829,658101,2215995000,1890026275,1172467827,522071262,33154,2044484801,789785166,990197261,952538233,922603526,6750114,3016833,851197267,998001409,0
32836,669190,2184060038,1917587728,1138962252,478674896,33225,2044702758,802914710,988291949,921427620,936193476,6651419,3151785,876458224,998252833,0
32849,664105,2307223076,1817436855,1269492841,616038378,33245,2045107474,746568182,988088434,935962647,886393473,7023724,2674566,785693388,997432131,0
32870,655512,2203581629,1900206598,1159653709,506352834,33198,2045761077,781242573,990119887,961276389,928379984,6703930,3071937,861889394,999493233,0
32885,659728,2270674037,1845596932,1230319577,582547095,33225,2046227807,785669916,989766742,949462632,901154360,6904893,2808882,812079180,999116914,0
32920,671612,2190931338,1914622125,1144315272,486132629,33376,2047316434,777974713,986337488,917134004,934450294,6655320,3130210,873197353,999213067,0
32925,656646,2251281702,1864615283,1207370616,560364527,33252,2047471904,768683025,990166005,959562001,909469438,6837606,2885601,827134659,998658083,0
32934,668197,2214087308,1896018111,1167756413,516407505,33401,2047751721,776708646,986018383,926926508,924873972,6722801,3034312,855391863,998889334,0
32947,668231,2096932927,2002495993,1047159612,296720861,33336,2048155836,765319396,988330934,927198033,976738840,6364564,3573241,954018762,999009917,0
32951,688260,2266490462,1855215755,1221685649,574447868,33524,2048280162,770801656,982907768,874124721,903723266,6878366,2830133,816715741,997769900,0
32988,676797,2247517099,1871772944,1200742380,553546741,33461,2049429826,766699205,985864140,905000877,911863953,6813135,2905675,831495868,998412327,0
33006,669769,2235277491,1882429412,1187442927,539249994,33458,2049988888,757018349,986490525,924597414,917107114,6772337,2955279,841085458,998740978,0
33010,665850,2249712592,1868900915,1203762369,556677424,33374,2050113104,791587732,989093306,935626643,911277783,6815246,2899108,830427198,999637011,0
33013,652684,2237818539,1880291423,1190144523,542223823,33289,2050206260,789784689,991708973,973842946,916162872,6778598,2945848,839354409,998953052,0
33019,655703,2244502114,1875026272,1197051022,549663318,33340,2050392561,764328704,990371926,965071386,913517768,6797608,2920141,834514712,998956688,0
33051,663071,2189513714,1924739417,1137563711,476689675,33423,2051385878,777926846,988869940,944657550,936913921,6624652,3148775,877807695,998562178,0
33058,655511,2244458788,1878781612,1194635275,547087283,33320,2051603102,799274662,992136855,966777360,914074748,6789457,2923760,835532645,998156772,0
33062,667966,2220391436,1897813412,1169973519,519088990,33439,2051727219,778662270,988725739,931172778,924038522,6715841,3020233,853847189,998978601,0
33078,659456,2355600775,1789312328,1316483846,650391531,33333,2052223615,787721471,992349923,955822961,871210282,7121352,2530662,759007355,999220922,0
33078,652214,2213869025,1903548121,1163022358,510582618,33327,2052223615,772417336,992528580,977167183,926985107,6692874,3048481,859301388,999386727,0
33089,663915,2173358221,1942070489,1119093377,448903019,33466,2052564817,774410223,988734835,943340640,944420849,6568220,3223218,891930741,998153785,0
33090,653809,2284066750,1846885548,1236712666,588365282,33352,2052595833,769355964,992144399,972758069,898658427,6902589,2776965,807586968,998753033,0
33143,648385,2225263095,1897373792,1172812181,522480156,33377,2054238989,769979556,992989184,990685400,923144321,6714127,3007791,852195437,999465189,0
33159,653801,2224440287,1899804200,1170878708,520175444,33415,2054734778,788111423,992338770,974810341,923708669,6708406,3012584,853237706,999037863,0
33168,680621,2343155480,1805827539,1297552191,637220052,33542,2055013606,761240274,988849800,899742964,877028274,7064506,2578196,769178593,998049369,0
33171,654338,2222536490,1903614532,1167534946,516138043,33429,2055106541,790237278,992282150,973563187,924667176,6700240,3021425,855009387,998253339,0
33194,664658,2323085443,1820856017,1275820505,621001572,33520,2055818899,773698809,990274463,944219534,884951910,6998510,2647671,783139883,999145920,0
33236,660788,2108580025,2009273672,1049424005,303273094,33611,2057119090,768284790,988842938,956520582,975594507,6344265,3545182,951784642,998825651,0
33248,660068,2309698347,1834292486,1259176693,607696024,33511,2057490422,787661984,992151831,958954568,890804821,6946879,2698359,793533229,999198547,0
33251,658962,2174521630,1949834825,1115233763,442693503,33565,2057583244,757943925,990645017,962263101,946223398,6539718,3233803,895338718,998511968,0
33276,704493,2347881384,1807054960,1299286096,638461900,33857,2058356604,759656652,982839590,842534348,876686794,7055780,2571003,768579735,998604963,0
33316,670587,2292180829,1852793615,1237148493,588756561,33699,2059593374,782616866,988634678,931005952,898530058,6880120,2766344,807356266,998819588,0
33319,668601,2250172378,1888365102,1191598158,543808892,33732,2059686102,796038800,987756433,936629385,915345918,6753421,2924453,837858150,998390229,0
33325,674433,2238254842,1897357064,1179669807,530484185,33701,2059871545,798969072,988843061,920666621,920302508,6716444,2971950,846956707,999129255,0
33330,653776,2243601667,1894313875,1184387496,535842010,33580,2060026068,790184922,992555092,979912348,918178168,6731478,2951196,843051148,998499238,0
33333,679262,2205312914,1927167056,1144328878,486151306,33834,2060118777,772240756,985192410,907840655,934161662,6616005,3107876,872658010,998607762,0
33338,659103,2322637945,1829185092,1269766497,616255393,33639,2060273281,776747437,991052053,964368085,887040223,6966938,2660694,786840358,999103524,0
33344,661508,2253180561,1886685260,1194253546,546677680,33692,2060458672,763352487,989671139,957540959,914466735,6757379,2914941,836249410,998693823,0
33382,659434,2228701044,1909202490,1167346605,515908653,33730,2061632423,781688327,989682775,964671718,925037671,6676356,3015483,855694693,998892294,0
33399,664701,2215599425,1920898879,1153418042,498328415,33752,2062157306,761491108,989541361,949927944,930744648,6633730,3070858,866285599,999189440,0
33421,654804,2195440823,1940253903,1131522436,467930880,33691,2062836368,763385107,991985990,979504999,939600078,6569046,3158306,882848306,998962666,0
33423,659036,2241680528,1899810797,1179949356,530804972,33707,2062898090,772982724,991574450,967023472,920246246,6707000,2967046,846853153,999243833,0
33427,665610,2282231820,1866258656,1222891486,575596241,33789,2063021527,754491694,989286454,948129347,903949156,6827510,2812018,817124077,999254077,0
33429,658605,2294460905,1856980934,1235586679,587351259,33713,2063083245,791743641,991575950,968463377,899158159,6863684,2767460,808485396,998953785,0
33431,666841,2199074077,1936804685,1135413444,473606709,33788,2063144959,788708802,989434119,944745090,938188022,6577949,3143618,880196765,999387241,0
33433,657349,2250025125,1895660154,1186934863,538686621,33708,2063206672,776807082,991841699,972284135,916970503,6729953,2935035,840834904,998016261,0
33446,656077,2242339338,1902565986,1178586895,529237524,33713,2063607759,767814509,992080206,976437440,920292359,6704357,2966471,846938026,998190058,0
33447,664412,2261186154,1887406408,1198038824,550708725,33791,2063638608,770224525,989819774,952120901,912635435,6760505,2892999,832903437,997850654,0
33459,655414,2191299474,1945431002,1126382520,460233577,33765,2064008768,786308517,990937361,978794213,941910858,6549208,3179858,887196064,999322138,0
33468,659987,2244599389,1899543464,1181652029,532749759,33748,2064286344,792329545,991703212,965536869,919668050,6706703,2959465,845789323,999428669,0
33498,657523,2279380769,1873160543,1216863540,569797937,33745,2065211327,781494961,992680397,973658914,906040516,6804528,2828579,820909416,998934738,0
33534,657067,2188447518,1951928536,1121171948,452185632,33793,2066320761,783504673,992335691,976058644,944194798,6526056,3199462,891503816,999529070,0
33538,658284,2275186814,1879440519,1210566012,563582376,33800,2066443995,760516111,992248521,972569007,908252449,6783907,2847646,824922510,998623154,0
33539,662418,2236835362,1912006021,1169889288,518987647,33915,2066474802,764264880,988913460,960496360,923838579,6669356,2996733,853477720,998474442,0
33547,653512,2137540708,1999257014,1069167543,353836994,33832,2066721244,783570411,991576023,987089244,966868717,6371779,3434872,934835117,999495365,0
33560,669259,2279361768,1878565921,1213352027,566352488,33897,2067121649,739858907,990058117,941549974,906886164,6791900,2833885,822442514,997912291,0
33576,666339,2245887253,1904630178,1179172355,529912303,33927,2067614349,761792399,989654258,950272923,920622505,6688966,2963911,847545797,999402573,0
33583,657754,2217110512,1929504091,1149057171,492559596,33868,2067829868,775302429,991584977,975444036,932668830,6601883,3081467,869871147,999531679,0
33584,658848,2237351826,1913544824,1169218404,518178983,33884,2067860655,748056576,991146264,972236276,924244739,6661958,2998676,854228338,998779494,0
33607,690171,2147652972,1995241432,1076387518,369995763,34162,2068568621,770802752,983753879,886596875,963176382,6390493,3392637,927708744,998574112,0
33620,670224,2227760833,1922260317,1158927754,505431800,34012,2068968668,783244805,988474656,940519106,928721179,6626296,3040829,862523029,999601877,0
33623,659408,2173718620,1970837827,1102941394,421848171,33918,2069060976,793238493,991302553,971712750,951853178,6464975,3273607,906024472,999291894,0
33631,669076,2248894003,1907533660,1178953771,529660590,34009,2069307109,762884493,988885295,944058140,920144350,6686967,2956874,846665624,998179631,0
33639,663030,2246629064,1908531005,1177150939,527574560,33919,2069553214,786251870,991745040,961582569,921181537,6678644,2966531,848575424,998901357,0
33717,664363,2316225255,1856531262,1247609077,597950376,33985,2071951199,766225798,992114168,959948457,894537867,6869607,2713355,800197996,998334283,0
33731,671696,2311720126,1861264562,1242015871,593081148,34073,2072381313,803214668,989962727,939493017,896467219,6853399,2730382,803653475,998150371,0
33736,655729,2213902680,1941359516,1140387786,480682529,33988,2072534904,786863834,992585618,985949497,936145442,6562434,3108981,876368289,999399693,0
33794,665826,2189998940,1965777218,1114062631,440779117,34127,2074315723,777731750,990242330,957917183,947176588,6480437,3217421,897143488,999474035,0
33809,669341,2302474971,1871642998,1230189184,582426873,34143,2074776031,784067718,990217614,948303455,901106877,6810243,2769795,811993604,998905748,0
33824,656339,2207538648,1952815454,1130438948,466327555,34079,2075236236,788438228,992517386,986684731,940067907,6526545,3144127,883727669,999000177,0
33838,661029,2229735137,1934836383,1152415344,497013692,34146,2075665669,782128328,990979910,973135967,930902346,6589441,3052424,866579178,998659141,0
33845,670945,2263816048,1905214245,1188221248,540110507,34159,2075880353,763926508,990807693,944779673,916982789,6688775,2917233,840857435,999124671,0
33849,669571,2216104810,1946713489,1138382624,477854006,34239,2076003019,786271777,988609480,948773259,936780160,6547032,3110104,877557069,998995719,0
33858,664460,2343350014,1841392916,1272596410,618486935,34142,2076278992,781254326,991681800,963681409,886030247,6921112,2631175,785049599,999051301,0
33860,683315,2255350154,1915211613,1177598412,528093987,34319,2076340314,775183150,986625484,911286442,920628804,6660810,2951515,847557394,998082241,0
33864,662898,2212164258,1950635178,1134073805,471666862,34167,2076462953,771600437,991131794,968399824,938656768,6532495,3128140,881076528,999205810,0
33866,668421,2309311586,1868608750,1235845430,587584681,34171,2076524270,799933862,991074303,952518888,899196229,6818968,2749896,808553858,999247591,0
33876,666966,2281491732,1891647868,1206086910,559059342,34211,2076830826,788272251,990207828,956961790,910295136,6734832,2852564,828637234,999408522,0
33930,666214,2241509688,1928605622,1162243676,509611260,34251,2078485452,762729010,990628011,960652272,927270341,6606277,3012742,859830285,999332311,0
33946,667313,2315425397,1870289921,1238003462,589522187,34246,2078975459,791226721,991239853,957942188,897880563,6820908,2734615,806189505,998065399,0
33946,668564,2347548450,1842937385,1273808035,619435383,34280,2078975459,761530869,990256709,954360587,885594271,6915538,2623886,784277214,999018617,0
33961,690353,2381924989,1816542972,1311240651,646827292,34379,2079434735,770405154,987841415,895463526,873005970,7013707,2513022,762139423,999348194,0
33961,667497,2331138340,1857332978,1255099849,604309903,34279,2079434735,771192406,990723183,957837195,892025454,6864163,2680874,795709410,998694760,0
33969,666389,2223618326,1947690372,1141669311,482473841,34260,2079679641,764705882,991506130,961251403,935268259,6546022,3089598,874726717,998648649,0
33972,672812,2329882693,1859156247,1253193590,602708675,34349,2079771473,785661425,989024426,943069114,892650724,6858244,2686080,796825316,998576378,0
33993,669092,2197505747,1970923214,1114962639,442251584,34299,2080414185,778228022,991078457,954174231,946716153,6464583,3203313,896271473,999309207,0
33996,663743,2230963581,1943808765,1147727915,490774479,34285,2080505986,764693974,991570658,969700851,932559367,6562430,3061614,869666974,998141063,0
34004,659963,2290597505,1891650397,1210898964,563915151,34277,2080750765,781970795,992035476,981071581,908387772,6736259,2829330,825168345,999195494,0
34027,670160,2316577053,1874123657,1236085487,587801025,34334,2081454347,778507367,991058426,952086748,898504258,6808056,2737054,807309902,997904053,0
34036,666067,2269280102,1911104706,1187417987,539222369,34369,2081729597,753842746,990311036,964078826,917352422,6667294,2912555,841535465,999254348,0
34051,677272,2276209458,1906640036,1193832824,546225424,34502,2082188266,757901531,986928294,932853601,914761275,6684707,2887309,836788190,998985208,0
34053,671582,2324361441,1867914403,1244361860,595136326,34362,2082249414,743986367,991007508,948783552,895837186,6825717,2711717,802524265,998630587,0
34060,662146,2204383774,1968822030,1119646032,449779934,34367,2082463418,789083496,991067012,976218398,944691865,6472060,3179677,892442719,999219950,0
34082,668346,2306269470,1883912829,1224191180,576827653,34364,2083135861,801740767,991793738,958809282,903249117,6766826,2778401,815858967,998767351,0
34097,680595,2278191420,1908101712,1193957013,546359010,34502,2083594220,762250738,988261550,925014467,914582595,6681501,2883670,836461323,998698862,0
34104,667289,2294787360,1895440417,1210688207,563704561,34421,2083808087,798426745,990790506,962470112,908061515,6728792,2822136,824575715,998304094,0
34113,673914,2212423662,1965103818,1125855866,459431581,34492,2084083026,774661640,989011945,943888774,941990931,6485573,3150032,887346915,999024730,0
34130,666585,2355413478,1847780345,1274725908,620151121,34392,2084602256,795515465,992381949,965239485,885026037,6901299,2611769,783271086,998455947,0
34131,668091,2243380186,1938042127,1157549753,503674085,34473,2084632795,770625423,990079192,960920889,929237411,6572852,3023015,863482166,999523568,0
34151,674271,2315136009,1880356229,1231222027,583377426,34580,2085243480,750455974,987593985,943939862,900700206,6779116,2752161,811260861,998842241,0
34151,662129,2265248185,1922363364,1178366290,528982779,34389,2085243480,778210737,993079182,978876878,920536431,6633036,2938029,847387321,998532653,0
34179,677064,2250605017,1935928927,1162545270,509987930,34576,2086098138,778015524,988518047,936935665,926905486,6584760,2998206,859153780,998805163,0
34191,661403,2239809149,1944746730,1151722800,496101592,34445,2086464313,771980131,992625925,982176064,931536651,6550873,3042838,867760531,999419589,0
34207,668737,2280324687,1914154535,1191296024,543480298,34515,2086952446,757730817,991076344,961200851,915199690,6666252,2884861,837590472,997818199,0
34207,661138,2268735177,1921947081,1180435819,531362195,34421,2086952446,774299425,993782865,983423569,919874857,6632371,2929298,846169752,998849085,0
34220,677527,2331830193,1869591042,1247240782,597632979,34577,2087348970,773752996,989675218,936777941,895154791,6814232,2698915,801302100,999416658,0
34222,671994,2232982638,1952383681,1143721216,485315785,34576,2087409967,784332600,989761684,952323410,934807970,6524992,3073614,873865941,999459017,0
34239,666439,2326862934,1877243461,1239510475,590865460,34510,2087928370,769554077,992147204,968746459,897314723,6795943,2717745,805173713,998021251,0
34246,684324,2299085042,1899911444,1210101160,563116981,34732,2088141792,779558388,986007140,918959080,908249044,6713441,2818024,824916327,998232204,0
34253,672539,2280042799,1913685323,1191440814,543637825,34556,2088355192,792893519,991231624,951641846,915928067,6656476,2889812,838924223,999528560,0
34254,668704,2239688286,1949291861,1148975344,492450072,34575,2088385677,775363303,990715835,962616531,932444792,6538472,3048938,869453290,998980392,0
34259,676402,2275449241,1918680382,1185944914,537585123,34623,2088538091,770124761,989486757,940967839,917857473,6641902,2907858,842462341,999113929,0
34276,689626,2295589772,1904115066,1205594039,558556303,34738,2089056214,763113367,986700443,905675761,910030285,6697368,2833396,828155119,998418874,0
34291,671507,2306580670,1896239311,1216397453,569343533,34619,2089513274,782042510,990525434,955628131,905892129,6726490,2794308,820640549,998225074,0
34313,671844,2209339754,1981038520,1115243208,442708884,34600,2090183449,796975891,991705202,955282162,946067007,6438783,3181787,895042782,998190384,0
34321,669531,2279958451,1918273266,1188547268,540470046,34652,2090427095,787467878,990447882,962118171,916870698,6643042,2895870,840651876,999154491,0
34327,677311,2311581283,1893043718,1221092393,573880789,34714,2090609811,793596116,988851760,940306539,904406791,6734003,2779127,817951644,998794531,0
34333,665686,2292148642,1908718701,1200883421,553693873,34592,2090792511,779056047,992512720,973604944,912153982,6676226,2850909,832024887,999164893,0
34337,667785,2298067605,1906295845,1205514668,558475195,34583,2090914304,809796708,992886678,967606759,909857612,6692686,2829267,827840875,997974317,0
34349,674863,2382312433,1837249369,1296673425,636587835,34645,2091279635,783365262,991456199,947747671,877836008,6935609,2540493,770596056,999211428,0
34390,680240,2450146708,1789745100,1368991991,682950707,34759,2092527370,793932958,989384044,933937272,854041663,7124591,2338061,729387163,998525184,0
34394,669762,2309211333,1899052632,1215980692,568936466,34730,2092649060,781681818,990325367,963499612,906218080,6713995,2793133,821231209,998601293,0
34395,665156,2317171471,1891898259,1224786513,577389526,34638,2092679482,791235335,992984583,976918090,903118094,6736943,2764527,815622291,998963182,0
34397,678850,2297747022,1909315940,1203439920,556345118,34776,2092740324,772202766,989101679,937956691,910779256,6680080,2835397,829518854,998276103,0
34410,684481,2324579361,1889396293,1230329164,582555932,34802,2093135751,800698080,988736280,922936330,900436348,6755534,2739375,810785617,997533191,0
34412,667199,2339589857,1873982909,1248458481,598680683,34677,2093196580,787459954,992358047,971424393,894685269,6798762,2687143,800461730,999343236,0
34419,687797,2241432457,1956151627,1145837790,488214125,34885,2093409465,775202703,986641823,914297554,933960539,6512195,3056478,872282288,999494009,0
34421,678034,2324039146,1891497475,1228676843,581027879,34762,2093470285,755708264,990190438,940871694,900789597,6751806,2742162,811421898,996975296,0
