feature0,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,target
58,3,100313,6,10,2,13,2,1,1,0,1902,40,1,1
43,5,143828,4,14,3,4,5,2,2,9562,0,40,1,1
55,3,125000,4,14,3,2,5,1,1,0,0,40,1,1
43,3,105936,2,9,2,1,3,1,2,0,0,35,1,1
51,3,199995,5,5,2,7,2,1,1,0,0,50,1,1
44,3,85604,2,9,3,7,1,1,1,0,0,40,1,1
47,2,112200,1,13,1,2,1,2,1,10520,0,45,1,1
27,3,210498,2,9,2,7,2,1,1,5178,0,40,1,1
33,3,133503,2,9,2,6,2,1,1,0,1977,45,1,1
58,3,150560,1,13,3,1,1,1,2,14084,0,40,1,1
35,3,258339,11,15,2,4,2,1,1,0,0,55,1,1
49,2,175622,1,13,2,4,2,1,1,0,0,40,1,1
50,7,176751,4,14,3,2,1,1,1,0,0,80,1,1
59,3,271571,6,10,2,7,2,1,1,15024,0,50,1,1
50,5,199995,1,13,3,13,1,1,1,0,0,40,1,1
46,3,265105,1,13,2,4,2,1,1,0,0,50,1,1
43,3,115932,1,13,1,6,1,1,1,0,0,60,1,1
43,3,295510,2,9,2,2,2,1,1,0,0,45,1,1
37,3,38948,2,9,2,4,2,1,1,0,0,50,1,1
37,3,251396,7,12,2,2,2,1,1,0,0,65,1,1
49,3,151584,6,10,2,7,2,1,1,0,0,40,1,1
44,3,193882,1,13,2,2,2,1,1,0,0,40,1,1
34,3,242460,1,13,2,2,2,1,1,7688,0,40,1,1
53,3,123011,4,14,2,2,2,1,1,0,0,45,1,1
37,3,148581,2,9,2,8,2,1,1,0,0,50,1,1
61,3,40269,6,10,2,6,2,1,1,0,0,40,1,1
34,3,344073,2,9,5,1,1,1,1,0,0,40,1,1
51,3,197163,11,15,1,4,1,1,2,0,2559,50,1,1
46,3,330087,1,13,2,2,2,1,1,0,0,55,1,1
37,3,343721,1,13,2,4,2,1,1,0,0,40,1,1
55,3,282023,1,13,2,6,2,1,1,15024,0,50,1,1
45,3,168598,16,8,2,1,3,2,2,3103,0,40,1,1
49,3,353824,6,10,3,4,1,1,1,0,0,45,1,1
43,3,185057,2,9,3,2,1,1,2,0,0,30,1,1
43,3,220776,4,14,2,2,2,1,1,0,0,35,1,1
44,3,147206,6,10,2,7,2,1,1,7688,0,45,1,1
42,3,154374,1,13,2,2,2,1,1,0,2415,60,1,1
46,3,197332,4,14,2,4,2,1,1,7688,0,46,1,1
37,1,191841,1,13,1,1,1,1,2,8614,0,40,1,1
42,2,29320,11,15,3,4,5,1,1,0,0,60,1,1
41,3,425049,2,9,2,8,2,1,1,0,0,50,1,1
43,3,252519,1,13,2,3,2,2,1,0,0,40,23,1
39,3,43712,2,9,2,2,2,1,1,7298,0,40,1,1
44,3,120057,7,12,2,2,2,1,1,4386,0,45,1,1
37,5,365430,6,10,2,1,2,1,1,0,0,40,11,1
35,3,186845,11,15,2,4,2,1,1,0,0,45,1,1
51,3,215404,1,13,2,4,2,4,1,15024,0,40,1,1
33,3,115496,10,16,2,4,2,1,1,0,0,60,1,1
22,3,100345,1,13,1,7,1,1,1,13550,0,55,1,1
43,5,209899,4,14,1,11,1,2,2,8614,0,47,1,1
36,3,185744,6,10,2,2,3,1,2,0,0,35,1,1
47,2,119199,6,10,2,1,3,1,2,0,0,35,1,1
42,3,46221,10,16,4,5,1,1,1,27828,0,60,5,1
56,3,174533,1,13,1,2,1,1,2,0,0,45,1,1
40,5,27444,1,13,1,4,1,1,1,0,0,50,1,1
32,3,180284,13,6,2,7,2,1,1,0,0,40,1,1
65,3,155261,2,9,2,2,2,1,1,0,0,40,1,1
50,7,201689,9,4,2,7,2,1,1,0,1977,63,5,1
49,5,269527,4,14,2,4,2,1,1,7298,0,40,1,1
36,3,218490,1,13,2,4,2,1,1,0,0,45,12,1
48,6,184513,1,13,2,12,2,1,1,0,0,80,1,1
50,7,283676,10,16,2,4,2,1,1,15024,0,60,1,1
46,3,364548,1,13,3,6,1,1,1,8614,0,40,1,1
52,7,234286,2,9,2,2,2,1,1,15024,0,40,1,1
53,5,233734,4,14,3,4,1,2,2,0,0,40,1,1
45,1,35969,4,14,2,4,2,1,1,0,0,60,1,1
38,3,117312,2,9,2,2,3,1,2,15024,0,40,1,1
36,3,186035,3,7,2,7,2,1,1,5178,0,40,1,1
42,3,255667,6,10,2,7,2,1,1,0,0,50,1,1
49,2,355978,11,15,2,4,2,1,1,99999,0,35,1,1
57,3,298507,1,13,2,4,2,1,1,3103,0,40,1,1
44,3,307468,11,15,2,4,2,1,1,0,0,29,1,1
23,3,41721,8,11,2,7,2,1,1,0,0,55,1,1
35,3,117381,1,13,1,2,1,1,1,8614,0,45,1,1
50,3,185407,8,11,2,11,2,1,1,0,0,38,1,1
61,3,539563,6,10,2,2,2,1,1,0,0,45,1,1
48,3,149210,1,13,3,6,1,2,1,0,0,40,1,1
40,3,46990,10,16,2,4,3,1,2,0,1977,20,1,1
27,3,275110,2,9,2,3,2,2,1,0,0,80,1,1
47,3,145041,2,9,2,10,2,1,1,0,0,40,2,1
38,3,255941,4,14,1,2,1,1,2,10520,0,50,1,1
70,2,155141,1,13,2,7,2,1,1,0,2377,12,1,1
44,5,107845,7,12,3,13,1,1,2,0,0,56,1,1
37,3,178100,4,14,1,2,1,1,2,0,0,40,1,1
39,3,49020,1,13,2,6,2,1,1,3103,0,48,1,1
30,3,235124,2,9,2,8,2,1,1,99999,0,40,1,1
37,5,218490,2,9,2,13,2,1,1,7688,0,35,1,1
37,7,51264,8,11,2,6,2,1,1,0,0,40,1,1
44,2,264740,11,15,2,4,2,1,1,0,0,40,1,1
34,3,189759,1,13,2,2,2,1,1,0,1977,45,1,1
62,3,159908,6,10,2,1,3,1,2,0,0,38,1,1
48,7,254291,1,13,2,2,2,1,1,7298,0,50,1,1
43,3,206139,1,13,2,4,2,1,1,0,0,50,1,1
52,3,162576,7,12,2,11,2,1,1,0,0,40,1,1
58,1,198145,1,13,2,1,2,1,1,0,0,35,1,1
31,3,139822,2,9,2,1,3,1,2,0,0,40,1,1
51,3,98791,6,10,2,6,2,1,1,0,0,40,1,1
45,3,148995,10,16,1,4,1,1,1,99999,0,30,1,1
22,1,186634,16,8,1,2,1,1,1,0,0,50,1,1
26,3,247455,1,13,2,6,3,1,2,5178,0,42,1,1
50,3,104501,2,9,2,7,2,1,1,0,0,40,1,1
47,2,190072,6,10,2,7,2,1,1,0,0,40,13,1
79,6,76641,4,14,2,12,2,1,1,20051,0,40,16,1
38,3,119177,2,9,2,6,2,1,1,0,0,55,1,1
55,3,171467,2,9,3,7,5,2,1,0,0,48,1,1
24,3,359828,1,13,2,4,2,1,1,0,0,44,1,1
24,3,585203,1,13,2,2,3,1,2,7688,0,45,1,1
49,2,163352,11,15,2,4,2,1,1,0,0,85,1,1
40,2,406811,6,10,2,4,3,1,2,0,0,40,1,1
31,3,240441,4,14,1,2,1,1,1,0,1564,40,1,1
33,3,224258,9,4,1,9,1,1,1,0,0,40,6,1
38,3,80303,6,10,2,6,2,1,1,0,0,60,1,1
41,3,149909,1,13,2,6,2,1,1,7688,0,50,1,1
53,2,135339,1,13,2,2,2,3,1,7688,0,20,29,1
35,4,287658,6,10,2,13,2,2,1,0,0,40,1,1
59,3,245196,13,6,2,8,2,2,1,0,0,40,1,1
68,3,117236,1,13,2,2,2,1,1,20051,0,45,1,1
42,3,340234,2,9,2,11,2,3,1,15024,0,40,1,1
48,3,188432,2,9,2,10,2,1,1,3103,0,46,1,1
48,1,353824,2,9,2,13,2,1,1,0,0,72,1,1
37,3,204145,8,11,2,7,2,1,1,0,0,45,1,1
41,3,185145,2,9,2,11,2,1,1,0,0,45,5,1
46,3,178829,4,14,4,2,1,1,1,0,0,70,1,1
43,3,209894,2,9,2,1,3,1,2,0,0,40,1,1
61,6,160625,1,13,2,12,2,1,1,4386,0,15,1,1
53,5,155314,2,9,2,1,3,1,2,0,0,40,1,1
40,3,77357,11,15,2,4,2,1,1,0,0,40,1,1
48,2,328606,11,15,3,4,5,1,1,14084,0,63,1,1
45,4,201127,6,10,2,4,2,1,1,0,0,56,1,1
37,1,348960,1,13,2,4,2,1,1,0,0,36,1,1
31,3,209101,11,15,2,4,2,1,1,0,0,25,1,1
29,1,159782,4,14,2,4,3,1,2,0,0,45,1,1
36,3,135289,1,13,2,7,2,1,1,0,0,48,1,1
54,3,421561,4,14,2,2,2,1,1,0,0,45,1,1
51,4,73670,10,16,2,4,2,1,1,4386,0,52,1,1
63,4,95680,6,10,2,11,2,1,1,0,0,18,1,1
36,3,269318,1,13,2,2,2,1,1,0,0,50,1,1
31,3,263561,1,13,2,2,2,1,1,0,2246,45,1,1
42,3,433170,6,10,2,7,2,1,1,0,0,60,1,1
52,3,23780,8,11,2,2,2,1,1,0,1977,45,1,1
51,3,53833,2,9,2,4,2,1,1,0,0,46,1,1
51,3,162238,4,14,2,2,2,1,1,0,1887,47,1,1
24,1,197731,2,9,2,8,2,1,1,0,0,49,1,1
74,2,104001,2,9,2,6,2,1,1,0,0,40,1,1
25,2,259299,6,10,2,7,2,1,1,3103,0,50,1,1
57,3,112840,4,14,2,4,2,1,1,0,0,55,1,1
33,3,55291,4,14,2,2,2,1,1,0,0,40,1,1
52,3,177995,14,2,2,9,2,1,1,0,0,56,6,1
47,3,159726,2,9,2,8,2,1,1,0,0,85,1,1
27,3,185647,2,9,2,10,2,1,1,0,0,50,1,1
47,7,192894,1,13,2,2,2,1,1,0,1902,45,1,1
40,2,284706,11,15,2,4,2,4,1,0,1977,60,1,1
37,3,120590,2,9,2,7,2,1,1,0,0,45,1,1
34,3,179877,6,10,2,10,2,1,1,0,0,40,1,1
29,2,69132,11,15,3,4,1,1,1,99999,0,60,1,1
33,2,249249,12,3,2,7,2,1,1,0,0,50,1,1
54,3,257337,6,10,2,7,2,1,1,0,0,40,1,1
41,3,55854,1,13,2,4,2,1,1,0,0,56,1,1
47,2,199058,11,15,1,4,1,1,1,0,0,40,1,1
48,1,106377,10,16,2,4,2,1,1,0,0,65,1,1
37,5,108320,1,13,2,11,2,1,1,0,0,45,1,1
42,1,190044,1,13,2,2,2,1,1,15024,0,50,1,1
31,3,103435,1,13,2,6,2,1,1,0,0,50,1,1
39,3,137522,2,9,2,10,2,3,1,0,0,40,5,1
39,3,286789,1,13,2,2,2,1,1,0,0,40,1,1
48,3,73434,2,9,2,1,3,1,2,0,0,40,12,1
57,2,152030,6,10,2,6,3,1,2,0,0,25,1,1
31,2,226696,8,11,2,9,2,1,1,0,0,60,1,1
32,3,105650,2,9,2,2,3,1,2,0,0,50,1,1
51,3,249644,6,10,3,7,1,1,1,0,0,48,1,1
47,3,267205,8,11,2,7,2,1,1,0,0,60,5,1
28,7,204247,1,13,2,4,2,1,1,0,0,50,1,1
49,3,126754,1,13,1,2,1,1,1,0,0,45,1,1
50,2,37913,1,13,2,2,2,1,1,0,0,40,15,1
35,2,112271,1,13,2,2,2,1,1,0,0,50,1,1
52,3,74275,6,10,2,6,2,1,1,7298,0,45,1,1
49,3,187454,2,9,2,6,2,1,1,99999,0,65,1,1
34,3,36385,4,14,2,4,2,1,1,0,0,45,1,1
54,3,68985,4,14,2,6,2,1,1,0,0,55,1,1
31,5,243665,2,9,2,13,2,1,1,0,0,41,1,1
50,3,279461,6,10,2,8,2,1,1,0,0,40,1,1
44,3,193755,1,13,3,2,1,1,1,0,0,50,1,1
35,7,175769,2,9,2,6,2,1,1,0,0,65,1,1
37,5,196529,4,14,2,4,3,1,2,0,0,45,1,1
47,4,227244,1,13,2,13,2,2,1,0,0,50,1,1
29,3,160731,2,9,2,7,2,1,1,0,0,45,1,1
47,3,120781,4,14,2,2,2,3,1,15024,0,40,5,1
62,3,232308,1,13,2,2,2,1,1,0,0,40,1,1
45,3,295046,2,9,2,6,2,1,1,0,0,60,1,1
33,2,295621,1,13,2,4,2,2,1,0,0,25,1,1
32,3,204567,1,13,2,6,2,1,1,99999,0,60,1,1
42,3,204235,6,10,2,4,2,1,1,0,0,40,1,1
49,3,186982,6,10,5,2,1,1,2,0,0,45,1,1
36,3,77820,6,10,2,7,2,1,1,0,0,40,1,1
42,3,139126,6,10,2,11,2,1,1,0,0,40,1,1
46,5,344172,7,12,2,13,2,1,1,0,0,49,1,1
53,3,23698,2,9,2,7,2,1,1,0,0,46,1,1
37,3,110713,2,9,2,6,2,1,1,0,0,50,1,1
28,3,394927,6,10,2,11,2,1,1,0,0,40,1,1
58,7,182062,10,16,2,4,2,1,1,0,0,24,1,1
34,3,187215,1,13,2,4,3,1,2,15024,0,36,1,1
52,3,204402,2,9,2,8,2,1,1,0,0,85,1,1
36,3,181065,7,12,2,11,2,1,1,0,0,40,1,1
38,3,179579,6,10,2,4,2,1,1,0,0,50,5,1
50,3,237729,2,9,7,6,1,1,2,0,2444,72,1,1
71,3,179574,11,15,2,4,2,1,1,0,0,12,1,1
54,3,103580,7,12,3,2,5,1,2,0,0,55,1,1
57,3,278228,1,13,2,2,2,1,1,0,0,50,1,1
63,2,344128,1,13,2,6,2,1,1,0,0,50,1,1
44,3,165492,6,10,2,6,2,1,1,0,0,40,1,1
54,3,135803,1,13,2,2,2,3,1,15024,0,60,7,1
57,3,121362,6,10,7,1,5,1,2,0,2258,38,1,1
41,3,37869,2,9,2,6,2,1,1,0,1902,40,1,1
54,3,143822,6,10,2,7,2,1,1,0,0,45,1,1
50,3,211654,13,6,2,7,2,1,1,0,0,40,1,1
61,6,179761,2,9,2,12,2,1,1,0,0,40,1,1
51,3,257485,6,10,2,7,2,1,1,0,0,40,1,1
48,3,107231,11,15,2,2,2,1,1,99999,0,50,1,1
72,2,285408,11,15,2,4,2,1,1,0,2246,28,1,1
55,1,117357,10,16,2,4,2,3,1,0,0,70,5,1
62,6,141218,4,14,2,12,2,1,1,0,0,30,1,1
46,5,207677,1,13,2,13,2,1,1,0,0,40,1,1
45,3,246891,1,13,2,2,2,1,1,0,0,72,11,1
49,7,213354,4,14,5,2,1,1,1,0,0,70,1,1
44,3,192878,1,13,2,10,2,1,1,0,0,40,1,1
30,3,167309,1,13,2,1,2,1,1,0,1902,40,1,1
68,3,138714,1,13,2,4,2,1,1,0,0,55,1,1
56,3,231781,2,9,2,6,2,1,1,0,0,40,1,1
65,7,66360,3,7,2,2,2,1,1,6418,0,35,1,1
34,3,199934,6,10,2,10,2,2,1,7298,0,40,1,1
62,3,247483,6,10,2,6,2,1,1,0,0,40,1,1
39,3,333305,6,10,2,6,3,1,2,0,0,45,1,1
35,3,255191,1,13,2,4,2,1,1,0,0,45,1,1
28,3,34335,2,9,3,6,1,4,1,14084,0,40,1,1
28,3,130067,1,13,2,4,3,1,2,0,0,40,1,1
38,3,229015,1,13,2,2,2,1,1,0,0,50,1,1
49,5,102359,5,5,7,3,5,1,1,0,2231,40,1,1
33,7,281832,10,16,2,4,2,1,1,0,0,40,2,1
61,6,202106,2,9,2,12,2,1,1,0,1902,40,1,1
32,3,339773,6,10,2,2,2,1,1,0,0,40,1,1
43,1,261929,10,16,4,4,5,1,1,25236,0,64,1,1
41,3,355918,6,10,2,8,2,1,1,0,0,65,1,1
45,1,198660,6,10,2,4,2,1,1,0,0,40,1,1
37,2,188563,6,10,2,2,2,1,1,4386,0,50,1,1
43,7,35662,10,16,2,4,3,1,2,0,0,70,1,1
48,2,164582,6,10,2,9,2,1,1,7298,0,60,1,1
56,3,295067,1,13,1,2,1,1,1,14084,0,45,1,1
28,5,336543,7,12,2,13,2,3,1,0,0,40,39,1
39,2,52870,2,9,2,7,2,1,1,0,0,40,1,1
59,3,453067,6,10,2,4,2,1,1,0,0,36,1,1
50,7,167793,11,15,2,4,2,1,1,0,2415,60,1,1
43,3,34007,2,9,2,7,2,1,1,0,0,40,1,1
45,3,255014,6,10,2,7,2,1,1,0,0,55,1,1
34,3,103651,6,10,2,2,2,1,1,0,0,40,1,1
55,7,124137,6,10,2,6,2,1,1,0,0,40,1,1
54,3,288992,13,6,3,4,5,1,1,14344,0,68,1,1
42,3,186376,1,13,2,5,2,3,1,0,0,72,14,1
45,2,420986,1,13,2,4,2,1,1,0,0,40,1,1
44,1,244974,1,13,2,13,2,1,1,0,0,44,1,1
34,2,114691,2,9,2,4,2,1,1,0,0,40,1,1
52,2,135339,6,10,2,7,2,3,1,0,0,40,5,1
60,3,355865,4,14,2,2,2,1,1,0,0,50,1,1
50,2,225772,10,16,3,4,1,1,2,0,0,60,1,1
28,3,421967,1,13,2,2,3,1,2,0,0,60,1,1
49,2,105614,2,9,3,6,1,1,1,0,0,50,1,1
50,5,259377,4,14,2,4,3,1,2,15024,0,40,1,1
46,7,285335,6,10,2,6,2,1,1,0,0,60,1,1
44,3,227065,1,13,2,2,2,1,1,0,0,40,1,1
52,3,162238,1,13,2,4,2,1,1,0,0,38,1,1
36,2,151322,1,13,2,4,2,1,1,0,0,45,1,1
51,3,37237,2,9,2,9,2,1,1,0,0,80,1,1
51,3,94081,2,9,1,7,1,1,1,0,0,40,1,1
39,1,183092,10,16,3,4,1,1,2,0,0,40,1,1
51,7,167793,1,13,2,2,2,1,1,15024,0,40,1,1
28,3,138692,1,13,2,2,2,1,1,0,0,40,1,1
58,3,210673,6,10,2,1,3,1,2,0,0,40,1,1
59,3,159008,7,12,2,7,2,1,1,7298,0,20,1,1
50,3,23686,6,10,2,1,6,1,2,0,0,35,1,1
54,3,98535,1,13,2,2,2,1,1,0,0,40,1,1
38,3,195686,6,10,2,7,2,1,1,0,0,40,1,1
43,3,196545,1,13,2,10,2,1,1,0,1902,40,1,1
36,3,237943,4,14,2,2,2,1,1,15024,0,50,1,1
56,3,143266,6,10,2,2,2,1,1,0,0,40,1,1
44,1,193524,4,14,2,2,2,1,1,0,1902,40,1,1
32,3,340917,1,13,1,4,1,1,1,0,0,50,1,1
32,3,183304,8,11,2,8,2,1,1,0,0,99,1,1
42,7,168071,2,9,2,6,2,1,1,0,0,43,1,1
32,3,53206,1,13,3,7,1,1,1,0,0,50,1,1
32,3,204374,11,15,2,4,2,1,1,0,1977,60,1,1
43,3,60001,1,13,3,6,5,1,1,0,0,44,1,1
50,3,20795,2,9,2,9,2,1,1,0,0,60,1,1
29,3,188675,6,10,2,7,2,2,1,0,0,40,3,1
53,5,131258,11,15,1,4,1,1,2,0,0,50,1,1
35,5,182570,7,12,2,13,2,1,1,0,0,40,1,1
41,3,188615,6,10,2,7,2,1,1,0,0,40,1,1
34,2,313729,1,13,2,6,2,1,1,0,0,60,1,1
58,3,322691,1,13,2,10,2,1,1,0,0,40,1,1
32,3,130057,1,13,2,2,2,1,1,0,0,45,1,1
24,3,186213,6,10,2,11,2,1,1,0,0,50,1,1
43,3,144371,2,9,2,3,2,1,1,0,0,42,1,1
53,1,153486,13,6,2,8,2,1,1,0,0,40,1,1
46,1,119904,11,15,1,4,1,1,2,0,1564,55,1,1
62,3,134768,2,9,2,8,2,1,1,0,0,40,1,1
56,3,132026,1,13,2,6,2,2,1,7688,0,45,1,1
47,3,148995,4,14,2,2,2,1,1,0,0,65,1,1
34,2,204375,11,15,1,4,1,1,2,0,0,60,1,1
63,7,189253,6,10,2,2,2,1,1,0,0,45,1,1
64,3,98586,10,16,2,4,2,1,1,0,0,60,1,1
40,3,221172,7,12,2,2,2,1,1,0,0,50,1,1
38,5,194630,1,13,1,13,1,1,2,4787,0,43,1,1
49,3,280525,6,10,2,1,2,1,1,0,0,45,1,1
37,3,66686,2,9,2,8,2,1,1,0,0,40,1,1
65,6,325537,8,11,2,12,2,1,1,0,0,50,1,1
30,2,250499,6,10,2,1,3,1,2,0,0,55,1,1
46,5,14878,11,15,2,4,2,3,1,0,0,40,14,1
40,3,53835,1,13,2,6,2,1,1,0,0,50,1,1
32,3,167531,11,15,2,4,3,3,2,15024,0,50,1,1
35,7,79586,4,14,2,4,2,3,1,0,0,40,4,1
39,3,209867,6,10,1,1,1,1,2,13550,0,45,1,1
43,3,99212,8,11,2,2,2,1,1,3103,0,48,1,1
38,5,421446,1,13,2,2,2,2,1,0,0,50,1,1
55,5,28151,2,9,3,1,1,1,2,0,0,40,1,1
90,3,46786,1,13,2,6,2,1,1,9386,0,15,1,1
26,3,181920,1,13,2,4,3,1,2,0,0,45,1,1
44,3,182402,2,9,2,7,2,1,1,0,0,40,1,1
37,3,60722,6,10,3,2,1,3,2,0,0,40,30,1
45,3,140644,2,9,2,6,2,1,1,0,0,50,1,1
30,3,205950,6,10,2,10,2,1,1,0,0,40,1,1
36,3,52327,4,14,2,4,2,5,1,0,0,40,13,1
39,7,216473,1,13,2,2,2,1,1,0,0,60,1,1
47,5,216657,4,14,1,4,1,1,1,0,0,35,1,1
43,7,117158,1,13,2,6,2,1,1,15024,0,60,1,1
56,3,139616,1,13,3,2,1,1,1,0,0,45,1,1
53,5,248834,1,13,2,4,3,1,2,0,0,50,1,1
59,3,232672,4,14,2,2,2,1,1,0,0,40,1,1
29,3,47429,2,9,2,1,3,1,2,0,0,40,1,1
58,7,130454,6,10,2,2,2,1,1,0,0,50,1,1
39,2,65716,7,12,2,1,3,1,2,0,0,40,1,1
30,3,203488,6,10,2,10,2,1,1,0,0,40,1,1
52,3,175714,7,12,2,2,2,1,1,0,0,55,1,1
41,3,101593,4,14,2,2,2,1,1,0,0,50,1,1
40,4,73883,6,10,2,11,2,1,1,0,0,40,1,1
54,2,242606,4,14,2,6,2,1,1,4386,0,45,1,1
35,6,195946,6,10,2,12,2,3,1,0,0,40,14,1
47,4,137917,6,10,2,1,2,2,1,0,0,40,1,1
36,3,329980,1,13,1,2,1,1,1,27828,0,40,1,1
56,7,98418,11,15,2,4,2,1,1,99999,0,40,1,1
37,2,268598,1,13,2,2,2,5,1,7298,0,50,8,1
58,3,197319,1,13,2,2,2,1,1,0,0,45,1,1
29,3,134890,8,11,2,9,2,1,1,0,0,40,1,1
30,5,154950,1,13,2,13,2,1,1,0,0,72,1,1
51,2,132341,2,9,2,2,2,1,1,0,0,45,1,1
38,3,312771,8,11,2,6,2,1,1,0,0,40,1,1
26,3,94477,6,10,2,8,2,1,1,7298,0,55,1,1
47,3,254367,6,10,2,2,2,1,1,0,0,50,1,1
46,3,110171,4,14,2,4,2,1,1,15024,0,50,1,1
43,3,152629,2,9,2,7,2,1,1,0,0,40,1,1
41,3,233130,6,10,2,7,2,1,1,0,0,40,1,1
43,3,339814,6,10,2,4,2,1,1,5178,0,40,1,1
25,3,75759,2,9,2,8,2,1,1,0,0,44,1,1
50,3,34832,1,13,2,11,2,1,1,15024,0,40,1,1
44,3,174283,2,9,2,7,2,1,1,0,0,40,1,1
38,5,172855,1,13,2,4,3,2,2,0,1887,40,1,1
41,3,35166,11,15,2,4,2,1,1,15024,0,50,1,1
24,3,161092,6,10,2,1,2,1,1,7298,0,40,1,1
28,3,192283,4,14,4,6,1,1,2,0,0,80,1,1
34,2,179673,11,15,2,4,2,1,1,7688,0,60,1,1
46,1,248895,1,13,2,2,2,1,1,0,0,40,1,1
48,1,120131,2,9,3,7,4,1,1,8614,0,40,1,1
60,2,27886,6,10,2,2,2,1,1,0,0,40,1,1
51,2,124963,11,15,3,4,1,1,1,0,0,80,1,1
58,3,372181,2,9,3,6,5,1,2,0,0,40,1,1
34,3,319854,10,16,1,4,1,1,1,0,0,40,22,1
47,5,149700,4,14,2,4,2,1,1,15024,0,35,1,1
36,2,67728,1,13,2,6,2,1,1,0,0,50,1,1
34,3,159255,2,9,2,2,2,1,1,0,0,60,1,1
38,3,809585,1,13,2,6,2,1,1,0,0,40,1,1
35,3,186934,2,9,2,2,2,1,1,7688,0,50,1,1
45,5,348172,1,13,2,9,2,3,1,7298,0,40,1,1
58,3,170108,4,14,2,2,2,1,1,0,0,40,1,1
47,2,172034,2,9,2,6,2,1,1,0,0,75,1,1
31,3,147284,10,16,2,4,2,1,1,0,1977,99,1,1
41,3,156566,1,13,2,2,2,1,1,4386,0,50,1,1
35,7,338320,2,9,2,2,2,1,1,0,0,50,1,1
